project;benchmark;params;javaPath;jarFile;arguments
jenetics;io.jenetics.internal.util.IndexSorterPerf.insertionSort80;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.insertionSort160;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.insertionSort250;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.insertionSort320;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.heapSort80;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.heapSort160;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.heapSort250;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.internal.util.IndexSorterPerf.heapSort320;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
jenetics;io.jenetics.util.SeqPerf.array_get;;PATH/TO/java;PATH/TO/jenetics.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
